stage,particle,target_epochs,hidden_sizes,activation,dropout,rmse,mse,mae,parameters,best_epoch,status,feasible,saved_at
1,1,100,"(16, 48, 32)",relu,0.2,42.079091035141786,1770.64990234375,32.37220764160156,3153,100,cache-exacta,True,2026-08-05T22:00:54Z
1,2,100,"(48, 8, 16)",elu,0.2,82.63770467755624,6828.990234375,72.91278076171875,2761,100,cache-exacta,True,2026-08-05T22:00:54Z
1,3,100,"(48, 16)",elu,0.0,73.35049367165159,5380.294921875,65.4749755859375,3009,100,cache-exacta,True,2026-08-05T22:00:54Z
1,4,100,"(24, 32, 12)",silu,0.2,73.45629746127115,5395.82763671875,65.09708404541016,2313,100,cache-exacta,True,2026-08-05T22:00:54Z
1,5,100,"(8, 16, 4)",relu,0.1,88.80024985888272,7885.484375,77.83687591552734,585,100,cache-exacta,True,2026-08-05T22:00:54Z
1,6,100,"(64, 12)",elu,0.05,78.00526762561455,6084.82177734375,69.13574981689453,3737,100,cache-exacta,True,2026-08-05T22:00:54Z
1,7,100,"(16,)",elu,0.1,88.81777781643717,7888.59765625,78.37826538085938,753,100,cache-exacta,True,2026-08-05T22:00:54Z
1,8,100,"(12, 48)",elu,0.05,82.15121584994954,6748.822265625,72.7282485961914,1225,100,cache-exacta,True,2026-08-05T22:00:54Z
1,9,100,"(8, 8)",silu,0.1,89.47972721254379,8006.62158203125,78.58702850341797,449,100,cache-exacta,True,2026-08-05T22:00:54Z
1,10,100,"(32, 16)",relu,0.0,72.3068210280849,5228.2763671875,64.0429916381836,2017,100,cache-exacta,True,2026-08-05T22:00:54Z
1,11,100,"(16, 24)",elu,0.1,78.42153722033252,6149.9375,70.27220916748047,1169,100,cache-exacta,True,2026-08-05T22:00:54Z
1,12,100,"(12, 4)",relu,0.05,89.78941291641793,8062.138671875,79.6308364868164,609,100,cache-exacta,True,2026-08-05T22:00:55Z
1,13,100,"(12, 4, 12)",elu,0.1,87.96766207142542,7738.3095703125,77.60322570800781,677,100,cache-exacta,True,2026-08-05T22:00:55Z
1,14,100,"(32, 32)",silu,0.05,76.76331444975848,5892.6064453125,67.82633972167969,2561,100,cache-exacta,True,2026-08-05T22:00:55Z
1,15,100,"(8,)",relu,0.1,89.11228597516029,7940.99951171875,78.89093780517578,377,100,cache-exacta,True,2026-08-05T22:00:55Z
1,16,100,"(32,)",elu,0.1,86.39454317168273,7464.01708984375,76.44580841064453,1505,100,cache-exacta,True,2026-08-05T22:00:55Z
1,17,100,"(8,)",silu,0.1,89.11608037413899,7941.67578125,78.90770721435547,377,100,cache-exacta,True,2026-08-05T22:00:55Z
1,18,100,"(64, 32)",elu,0.05,55.884192476495535,3123.04296875,48.626522064208984,5057,100,cache-exacta,True,2026-08-05T22:00:55Z
1,19,100,"(48,)",elu,0.1,84.16175019159535,7083.2001953125,74.81568908691406,2257,100,cache-exacta,True,2026-08-05T22:00:55Z
1,20,100,"(48, 32)",relu,0.1,64.36060215205417,4142.287109375,56.92556381225586,3809,100,cache-exacta,True,2026-08-05T22:00:55Z
1,21,100,"(32, 8)",relu,0.05,84.71404104397334,7176.46875,74.4618911743164,1745,100,cache-exacta,True,2026-08-05T22:00:55Z
1,22,100,"(8, 8)",relu,0.2,88.59119264386557,7848.3994140625,77.93973541259766,449,100,cache-exacta,True,2026-08-05T22:00:55Z
1,23,100,"(12, 24)",silu,0.05,86.3303718599008,7452.93310546875,76.53971862792969,889,100,cache-exacta,True,2026-08-05T22:00:55Z
1,24,100,"(8, 16, 16)",silu,0.1,86.9817212074971,7565.81982421875,76.7702865600586,801,100,cache-exacta,True,2026-08-05T22:00:55Z
1,25,100,"(12, 12)",elu,0.0,87.74499740904037,7699.1845703125,77.06425476074219,721,100,cache-exacta,True,2026-08-05T22:00:55Z
1,26,100,"(48, 8, 24)",relu,0.1,77.4994644638755,6006.1669921875,68.4639663696289,2841,100,cache-exacta,True,2026-08-05T22:00:55Z
1,27,100,"(32, 32)",relu,0.2,71.38861584774038,5096.33447265625,63.11569595336914,2561,100,cache-exacta,True,2026-08-05T22:00:55Z
1,28,100,"(4,)",silu,0.1,89.64916972740183,8036.9736328125,78.9929428100586,189,100,cache-exacta,True,2026-08-05T22:00:55Z
1,29,100,"(64, 12)",elu,0.2,79.2304016332667,6277.45654296875,70.45108032226562,3737,100,cache-exacta,True,2026-08-05T22:00:55Z
1,30,100,"(4,)",elu,0.1,89.75695263808258,8056.310546875,78.92910766601562,189,100,cache-exacta,True,2026-08-05T22:00:55Z
1,31,100,"(48, 24, 12)",silu,0.1,72.20748505825071,5213.9208984375,64.02571105957031,3697,100,cache-exacta,True,2026-08-05T22:00:55Z
1,32,100,"(8, 32)",silu,0.05,86.90505887353451,7552.4892578125,76.22865295410156,689,100,cache-exacta,True,2026-08-05T22:00:55Z
1,33,100,"(48,)",elu,0.2,83.75554144446951,7014.99072265625,74.40135192871094,2257,100,cache-exacta,True,2026-08-05T22:00:55Z
1,34,100,"(12,)",elu,0.0,89.39146756070319,7990.83447265625,78.86597442626953,565,100,cache-exacta,True,2026-08-05T22:00:55Z
