hidden_sizes,activation,dropout,parameters,seed,rmse,mse,mae,nasa_score,best_epoch,elapsed_seconds
"(16, 12, 64)",elu,0.05,1837,11,11.532200719827193,132.9916534423828,7.562953472137451,10760.16015625,2350,73.03453993797302
"(16, 12, 64)",elu,0.05,1837,22,11.499615206707734,132.24114990234375,7.428184986114502,11371.0087890625,2225,69.42581701278687
"(16, 12, 64)",elu,0.05,1837,33,11.604059863783263,134.65420532226562,7.544971942901611,10188.634765625,2625,77.64257001876831
"(16, 12, 64)",elu,0.05,1837,44,11.485515594932833,131.9170684814453,7.489794731140137,10570.484375,2225,68.39770364761353
"(16, 12, 64)",elu,0.05,1837,55,11.877344161103064,141.07130432128906,7.826763153076172,12541.287109375,2000,63.05705428123474
"(4, 4)",silu,0.2,209,11,23.718990601134752,562.5905151367188,19.343408584594727,27636.953125,5000,18.39106512069702
"(4, 4)",silu,0.2,209,22,25.905365306440984,671.0879516601562,21.184274673461914,38869.3046875,4950,17.942137956619263
"(4, 4)",silu,0.2,209,33,25.31169100751975,640.6817016601562,21.248149871826172,35099.3046875,5000,18.09835720062256
"(4, 4)",silu,0.2,209,44,21.733036836501217,472.32489013671875,17.403474807739258,23622.658203125,4925,17.738306522369385
"(4, 4)",silu,0.2,209,55,22.2589751582964,495.46197509765625,17.917102813720703,26894.125,4775,18.12908363342285
"(4, 12)",silu,0.0,257,11,12.56594664705842,157.90301513671875,8.210315704345703,14393.6025390625,5000,9.455388307571411
"(4, 12)",silu,0.0,257,22,12.195423230799344,148.7283477783203,8.409339904785156,10996.9521484375,3900,9.33273434638977
"(4, 12)",silu,0.0,257,33,12.281191604902519,150.82766723632812,8.342610359191895,12506.8603515625,4950,9.491719245910645
"(4, 12)",silu,0.0,257,44,14.291747394181776,204.25404357910156,9.710996627807617,16329.513671875,4950,9.967820405960083
"(4, 12)",silu,0.0,257,55,12.084454574303237,146.03404235839844,8.301506042480469,10204.119140625,3000,7.445274353027344
