stage,target_epochs,hidden_sizes,activation,dropout,rmse,mse,mae,parameters,best_epoch,status,feasible
1,100,"(16, 48, 32)",relu,0.2,52.80260632180006,2788.115234375,45.4807243347168,3153,100,cold,True
1,100,"(48, 8, 16)",elu,0.2,89.42917392236998,7997.5771484375,79.97469329833984,2761,100,cold,True
1,100,"(48, 16)",elu,0.0,82.2822054160254,6770.361328125,73.35964965820312,3009,100,cold,True
1,100,"(24, 32, 12)",silu,0.2,83.17740946502542,6918.4814453125,73.7311782836914,2313,100,cold,True
1,100,"(8, 16, 4)",relu,0.1,94.04594434869321,8844.6396484375,84.2295913696289,585,100,cold,True
1,100,"(64, 12)",elu,0.05,85.61294680219955,7329.57666015625,76.76559448242188,3737,100,cold,True
1,100,"(16,)",elu,0.1,94.71422890067785,8970.78515625,85.2110595703125,753,100,cold,True
1,100,"(12, 48)",elu,0.05,89.68810158770366,8043.95556640625,80.20282745361328,1225,100,cold,True
1,100,"(8, 8)",silu,0.1,95.44756311550076,9110.2373046875,85.49004364013672,449,100,cold,True
1,100,"(32, 16)",relu,0.0,84.99116452240786,7223.498046875,75.44699096679688,2017,100,cold,True
1,100,"(16, 24)",elu,0.1,87.58716361698642,7671.51123046875,78.58567810058594,1169,100,cold,True
1,100,"(12, 4)",relu,0.05,96.16410534211816,9247.53515625,86.71446228027344,609,100,cold,True
1,100,"(12, 4, 12)",elu,0.1,94.09521337287832,8853.9091796875,84.48280334472656,677,100,cold,True
1,100,"(32, 32)",silu,0.05,84.56030866063138,7150.44580078125,75.0240478515625,2561,100,cold,True
1,100,"(8,)",relu,0.1,95.75176952509807,9168.4013671875,86.10936737060547,377,100,cold,True
1,100,"(32,)",elu,0.1,93.27465428942902,8700.1611328125,83.80570983886719,1505,100,cold,True
1,100,"(8,)",silu,0.1,95.61792253220628,9142.787109375,86.11412811279297,377,100,cold,True
1,100,"(64, 32)",elu,0.05,64.38355146478602,4145.24169921875,56.2921142578125,5057,100,cold,True
1,100,"(48,)",elu,0.1,92.17014137418636,8495.3349609375,82.99081420898438,2257,100,cold,True
1,100,"(48, 32)",relu,0.1,74.9966665925893,5624.5,66.22748565673828,3809,100,cold,True
1,100,"(32, 8)",relu,0.05,92.23368546455791,8507.052734375,82.11386108398438,1745,100,cold,True
1,100,"(8, 8)",relu,0.2,94.85830819075628,8998.0986328125,85.16603088378906,449,100,cold,True
1,100,"(12, 24)",silu,0.05,94.26362426394924,8885.630859375,84.40977478027344,889,100,cold,True
1,100,"(8, 16, 16)",silu,0.1,93.49166490254626,8740.69140625,84.2215347290039,801,100,cold,True
1,100,"(12, 12)",elu,0.0,91.68877810970108,8406.83203125,82.56900024414062,721,100,cold,True
1,100,"(48, 8, 24)",relu,0.1,86.22367691613192,7434.5224609375,76.55570220947266,2841,100,cold,True
1,100,"(32, 32)",relu,0.2,79.74590690417126,6359.40966796875,70.45559692382812,2561,100,cold,True
1,100,"(4,)",silu,0.1,95.33657482834172,9089.0625,85.88905334472656,189,100,cold,True
1,100,"(64, 12)",elu,0.2,85.84345706630035,7369.09912109375,76.98348236083984,3737,100,cold,True
1,100,"(4,)",elu,0.1,95.0913879923545,9042.3720703125,85.66616821289062,189,100,cold,True
1,100,"(48, 24, 12)",silu,0.1,84.91112656220326,7209.8994140625,75.30196380615234,3697,100,cold,True
1,100,"(8, 32)",silu,0.05,93.30000334941045,8704.890625,83.11602020263672,689,100,cold,True
1,100,"(48,)",elu,0.2,91.4341410439093,8360.2021484375,82.2955093383789,2257,100,cold,True
1,100,"(12,)",elu,0.0,95.86343333911267,9189.7978515625,86.06566619873047,565,100,cold,True
1,100,"(12,)",relu,0.1,94.95126731151355,9015.7431640625,85.31775665283203,565,100,cold,True
1,100,"(24, 8)",elu,0.1,90.6498834372527,8217.4013671875,81.48213958740234,1313,100,cold,True
1,100,"(8,)",elu,0.05,94.83407590694918,8993.501953125,85.10589599609375,377,100,cold,True
1,100,"(64, 12)",relu,0.1,74.29231551466982,5519.34814453125,65.71033477783203,3737,100,cold,True
1,100,"(4, 8)",silu,0.05,95.56350657579755,9132.3837890625,86.06358337402344,233,100,cold,True
1,100,"(48, 16, 32)",relu,0.0,66.39937096722943,4408.87646484375,58.22631072998047,3569,100,cold,True
1,100,"(48, 12, 24)",elu,0.2,79.49540265303868,6319.51904296875,70.47172546386719,3133,100,cold,True
1,100,"(16, 16)",elu,0.2,91.33807286497509,8342.6435546875,82.20016479492188,1025,100,cold,True
1,100,"(12, 12)",silu,0.0,94.98992545264997,9023.0859375,85.1178207397461,721,100,cold,True
1,100,"(24,)",elu,0.0,93.92552838718822,8822.0048828125,84.45108032226562,1129,100,cold,True
1,100,"(8, 12, 8)",relu,0.0,95.67655370929442,9154.0029296875,86.10688018798828,589,100,cold,True
1,100,"(8, 4)",elu,0.05,95.26659242784167,9075.7236328125,85.73211669921875,409,100,cold,True
1,100,"(24, 48)",relu,0.05,80.39150114925862,6462.79345703125,71.12538146972656,2353,100,cold,True
1,100,"(12,)",relu,0.05,94.67102269999252,8962.6025390625,84.92158508300781,565,100,cold,True
1,100,"(8, 48)",silu,0.0,93.83537258644792,8805.0771484375,83.93987274169922,849,100,cold,True
1,100,"(48, 64, 48)",silu,0.1,27.277515763187406,744.0628662109375,18.708467483520508,8513,100,cold,True
1,100,"(8, 24, 24)",silu,0.05,89.69866546352571,8045.8505859375,80.11868286132812,1209,100,cold,True
1,100,"(24, 12)",elu,0.05,91.52399467660106,8376.6416015625,82.08160400390625,1417,100,cold,True
1,100,"(12, 12)",elu,0.1,91.85663613241289,8437.6416015625,82.92071533203125,721,100,cold,True
1,100,"(64, 48)",elu,0.1,55.14868485654259,3041.37744140625,47.756046295166016,6113,100,cold,True
1,100,"(32, 48, 24)",elu,0.05,58.952460322916124,3475.392578125,51.218318939208984,4257,100,cold,True
